Bcell	Cancer	CD4_Eff	CD8T	Endothelial	Eos	Glia	Mono	Neu	Neuron	NK	Treg
cg11144217	98.0704795185631	98.3355341044285	97.7743430331314	98.1148739319841	2.13459904919211	98.3581656913546	1.79555608490959	98.0502495642019	98.4358306328057	1.78883769653052	98.188121525314	97.7801164795335
cg04296903	98.7662030621125	99.0290146215161	98.4440203098332	98.8483376475478	4.13703351300672	98.9408730817763	4.05123480915757	98.7359218100828	99.0219075121987	4.09927993174459	98.6927231899782	98.3850842469556
cg14529643	92.9423727340466	96.537312971112	95.755269828317	71.8571714601755	73.8387702540442	89.6463955272301	75.1010136991242	92.0484253310695	90.4138533921201	76.8829099650398	34.5283656648907	94.6825245444288
cg24399111	98.0787303035902	98.4119413294096	98.597709997223	98.2984630956456	3.72051927313258	98.5170136247863	2.45170606947286	98.1436318747533	98.5217915885154	2.41666444512097	98.1344832684269	98.3146016569834
cg03465880	98.7693476182722	98.9774854686524	98.9571734055439	98.830795293867	2.65274925721121	98.9333275137416	1.90703436988522	98.6797445453018	99.0091931607957	1.95440526589118	98.7688764818861	98.8473329027396
cg00355315	98.1762448874413	98.6156219400391	97.8910052806581	98.3209188495675	1.57126545916815	98.5774285415374	1.23959886685614	98.1100587902698	98.6557944929334	1.24764319365679	98.0410434452528	97.7974312428092
cg20251225	4.84592943705135	98.6244179530306	3.85700595760659	6.13264941248789	3.13212651966643	38.171699664629	2.02834115263632	18.43244438006	28.4953666376373	1.92272402078079	6.37694441788106	2.98519498027244
cg08122070	94.7241240936553	95.5433152504894	96.4977299080727	94.6359517691452	2.50048181346363	59.3789268751059	2.0001335483568	88.1393654734726	46.8873427779111	1.77720087746643	91.1283525992757	95.675201032481
cg17266431	25.7660050407569	89.7698051953793	88.3334333802772	85.01350006029	2.86148974721234	23.3048821844748	2.59325216365019	59.304482885588	45.6508359772004	2.55184609665137	79.0473360424604	84.6674643632758
cg04260676	9.43886489555216	91.7600002344574	89.6451468452791	69.3425698670862	1.79954568094865	59.0086429663728	1.74294563608836	69.4399469311468	35.503924317812	1.67359493824425	47.0474781725779	90.5927461414244
cg24445388	91.930003791337	92.4487245214667	17.1453659127593	57.3122082620823	1.9193641766336	93.6210155804856	1.87475477422734	92.4860995373505	94.020455369719	2.06983664893288	92.4299850079348	30.919941482534
cg08884752	90.0035725195305	4.32550520594725	8.08378132574534	51.7656199660259	3.06796867664416	79.924724174778	2.4149027699725	80.307047137424	82.0885104843776	2.36313928475561	90.1224823461632	17.3792459208795
cg17165158	98.8121850208892	98.9809079495891	98.8167397152198	98.9412344072886	2.84893047587438	98.8310595659212	2.32423801764406	98.7572062912481	98.8726585234118	2.24009592282154	98.8089934978034	98.8823189684396
cg24481594	90.398831791778	94.1852800671552	54.4066160634799	59.3243976143115	6.74505447968021	95.8980741035861	4.31222511876423	94.9365802867878	95.3558226232477	3.91414431054198	90.3063369126466	48.9500513840537
cg12222277	70.2537992667703	93.8832409464909	91.1284421599917	87.6696561959894	9.15655380419579	88.5206717958791	6.62524144771992	49.5066212904323	91.5781908088067	6.67776974345953	88.6348298988072	92.1114997310447
cg08942499	77.703760070935	94.3956035553089	7.48211458514783	43.1437985516423	4.57900255355777	78.038602201464	2.67673826881535	75.3522208057651	79.1990967275108	2.51072363717582	62.3176476563498	17.1549082040741
cg00330518	93.1133629845284	92.5710890437663	33.2920910676025	89.7579908812019	1.82386970436824	94.1048849562944	1.80909977663408	93.2472243848813	93.5297817028561	1.7024064999883	93.1536450703985	83.0641850152995
cg01938025	94.0332346970772	91.1766839890547	60.2095428096767	91.9823912913931	9.19606640389568	92.3857895188487	5.08179354846365	92.3727695618794	92.6617899429812	4.2122902306099	92.4278714787499	84.0745674556447
cg26017930	2.80244625712863	98.004084917912	1.6654776619176	2.52323130178231	3.06448618227371	2.68122436477937	2.42978311543548	3.29038051349824	2.92204793454748	2.09988116959283	2.76522125670606	1.97528155856782
cg11709150	98.8106547331549	99.0623616077787	98.9006727773921	98.9177782524637	4.60757084982552	99.1075459460142	3.65849675545822	98.788864256849	99.053518410744	3.5487915815319	98.7380760633755	98.8094039870736
cg16395997	92.4513863607735	92.1997753562256	93.7409729989944	91.7591072142272	2.64478578832149	21.0712817209552	8.68701830041275	88.7409362906472	45.5512573181465	2.8829943049125	92.1487511924352	94.6695408325049
cg05399785	95.8640355985854	95.9890271335485	96.2052519361981	95.439861644553	1.38137325480445	45.870300745676	1.79859435154741	95.2991878076127	67.6470763799526	1.70823170230219	95.7117297073782	95.6140648342022
cg15483030	98.2597403691046	98.6665846532875	98.4330516377738	98.4655156521384	3.21818638736685	98.6845784047875	2.5677484695146	98.2848953336409	98.6310110144192	2.22661293852165	98.2078303410101	98.3282115322419
cg01309569	94.4238798689888	93.8439050971732	95.4073832488649	93.9801566991405	1.95495465305591	80.1104527661485	47.0482242576351	88.5142753038887	51.0269951872015	42.4623211599783	93.5637822324578	95.5866942076404
cg16603374	87.4434371960271	5.95637871070695	92.5698894296947	88.3497618703706	92.7913347382403	70.5865996497049	86.7940617431683	81.6298093271317	76.8250969584742	95.0179104012948	85.8183941093022	91.2299251457133
